0,0
1,1064668416
2,0
3,1073166592
4,1072646144
5,1071810720
6,1073741792
7,1060011872
8,1069749504
9,1069290688
10,1069297536
11,1061422528
12,1061819712
13,1043186688
14,1059957088
15,1051582144
16,1070591808
17,1053417408
18,1057991776
19,1042228032
20,1046473664
21,1063442656
22,1060950048
23,1062935904
24,1062566112
25,1060525472
26,1057512416
27,1059737952
28,0
29,1060011872
30,1073741792
31,1040557120
32,1040570816
33,1057991776
34,1059957088
35,1048610176
36,1031559040
37,1034435072
38,1035585536
39,1025752064
40,1022615808
41,1046761280
42,1030052480
43,1033969536
44,1021958400
45,1035886848
46,1026546432
47,1034270848
48,1042159552
49,1027176448
50,1023642880
51,1041967808
52,1024519424
53,1043994752
54,1043803008
55,1043090816
56,1044076928
57,1046186048
58,1024081152
59,1036133376
60,1024793344
61,1024492032
62,1037393408
63,1029997696
64,1033996928
65,1036133376
66,1027012096
67,1073741792
68,1061210240
69,1063949376
70,1070591808
71,1046473664
