0,0
1,1066420416
2,0
3,1071398368
4,1073741792
5,1071868544
6,1072473056
7,1064815840
8,1071189408
9,1071749120
10,1072099904
11,1063330688
12,1063845632
13,1055083840
14,1061800736
15,1052620992
16,1072099904
17,1057024288
18,1061867904
19,1043814464
20,1049710336
21,1064390432
22,1062920192
23,1063584416
24,1064196416
25,1061793248
26,1057904960
27,1060987232
28,0
29,1064815840
30,1073741792
31,1036396032
32,1050232768
33,1061867904
34,1061800736
35,1047217664
36,1036605056
37,1042799488
38,1043889088
39,1037709568
40,1033649536
41,1040276928
42,1036067712
43,1042291968
44,1033888384
45,1036216960
46,1040993408
47,1042620352
48,1043889088
49,1036933376
50,1032962944
51,1031858432
52,1025977472
53,1053382272
54,1050217856
55,1049023744
56,1050725376
57,1052859840
58,1025260928
59,1043844288
60,1036813952
61,1036515456
62,1041635200
63,1032037504
64,1036276608
65,1038635008
66,1026275968
67,1073741792
68,1063129184
69,1065898016
70,1072099904
71,1053412096
